                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1615,                 2.9389,                 1.2252,                 0.8602,                      1,                0.97666,                0.69979,                0.84056,                 2.9911,                 1.0074,                 0.0004,                 0.0004,                 0.0004
                      2,                0.78835,                 1.6878,                 1.0228,                0.95752,                0.72741,                0.94458,                0.71033,                0.85044,                 2.7979,                 1.0689,             0.00073882,             0.00073882,             0.00073882
                      3,                 0.7486,                 1.5648,                0.94773,                0.92926,                0.84777,                0.95893,                0.65882,                0.98185,                 2.2565,                 1.1046,             0.00099448,             0.00099448,             0.00099448
                      4,                 0.7182,                 1.3564,                0.95418,                0.81194,                0.69666,                0.80686,                0.60845,                0.95351,                 2.3298,                 1.0362,               0.001167,               0.001167,               0.001167
                      5,                0.75764,                 1.3119,                0.99576,                0.89694,                0.84233,                0.91818,                0.68592,                0.93524,                 1.8947,                 1.0837,               0.001208,               0.001208,               0.001208
                      6,                0.79641,                 1.3386,                0.98281,                0.87659,                0.90323,                0.93942,                0.70656,                0.90569,                 1.5493,                 1.0613,               0.001208,               0.001208,               0.001208
                      7,                 0.6695,                 1.0851,                0.93682,                0.96271,                0.96774,                0.96326,                0.76528,                0.81424,                 1.2405,                 1.0278,                0.00101,                0.00101,                0.00101
                      8,                0.64767,                 1.0332,                0.94333,                0.91137,                0.99529,                0.98171,                0.77388,                0.77409,                 1.1246,                0.98133,               0.000812,               0.000812,               0.000812
                      9,                0.60678,                0.91359,                0.92724,                      1,                0.96107,                0.96591,                0.82385,                 0.6884,                 1.0138,                0.91672,               0.000614,               0.000614,               0.000614
                     10,                0.53032,                0.81897,                0.88672,                      1,                0.96758,                0.97116,                0.81601,                0.62443,                 0.8846,                 0.8729,               0.000416,               0.000416,               0.000416
